AAPL	Consumer	Technology	673.99	23131.86
MSFT	Software—Infrastructure	Technology	1629.24	19909.93
AMZN	Internet	Consumer	1340.01	11632.40
GOOG	Internet	Communication	2540.04	15173.62
GOOGL	Internet	Communication	2540.04	15089.13
FB	Internet	Communication	1232.28	5321.71
INTC	Semiconductors	Technology	1031.36	1512.52
CMCSA	Telecom	Communication	965.06	1784.39
PEP	Beverages—Non-Alcoholic	Consumer	183.2	2360.24
CSCO	Communication	Technology	404.0	1767.78
ADBE	Software—Infrastructure	Technology	139.85	1791.64
NVDA	Semiconductors	Technology	263.2	3782.50
NFLX	Entertainment	Communication	175.44	817.73
TSLA	Auto	Consumer	354.06	7204.99
COST	Discount	Consumer	205.13	2182.26
PYPL	Credit	Financial	206.03	848.15
AMGN	Drug	Healthcare	9.16	1310.13
AVGO	Semiconductors	Technology	209.9	1948.86
TXN	Semiconductors	Technology	140.17	1390.67
CHTR	Telecom	Communication	159.44	791.69
SBUX	Restaurants	Consumer	-87.61	904.45
QCOM	Semiconductors	Technology	133.28	1423.07
GILD	Drug	Healthcare	199.15	786.83
MDLZ	Confectioners	Consumer	282.16	863.71
TMUS	Telecom	Communication	699.76	1717.41
FISV	Information	Technology	321.42	606.71
BKNG	Travel	Consumer	43.73	711.26
INTU	Software—Application	Technology	169.61	1142.16
ADP	Staffing	Industrials	41.93	907.60
ISRG	Medical	Healthcare	121.57	737.12
VRTX	Biotechnology	Healthcare	109.07	744.66
MU	Semiconductors	Technology	492.81	632.87
CSX	Railroads	Industrials	131.95	628.14
BIIB	Drug	Healthcare	112.21	316.31
AMAT	Semiconductor	Technology	115.79	753.03
AMD	Semiconductors	Technology	553.33	1221.05
ATVI	Electronic	Communication	178.31	612.76
EXC	Utilities—Regulated	Utilities	234.91	433.84
MAR	Lodging	Consumer	17.72	443.98
LRCX	Semiconductor	Technology	60.26	543.33
WBA	Pharmaceutical	Healthcare	311.57	326.52
ADI	Semiconductors	Technology	371.0	752.16
ROST	Apparel	Consumer	40.54	258.91
ADSK	Software—Application	Technology	6.81	383.99
REGN	Biotechnology	Healthcare	199.15	653.48
ILMN	Diagnostics	Healthcare	108.95	306.96
CTSH	Information	Technology	119.73	354.50
XEL	Utilities—Regulated	Utilities	157.32	386.76
JD	Internet	Consumer	403.33	964.54
MNST	Beverages—Non-Alcoholic	Consumer	68.67	515.85
MELI	Internet	Consumer	15.89	354.94
NXPI	Semiconductors	Technology	67.6	382.69
BIDU	Internet	Communication	355.08	517.98
KHC	Packaged	Consumer	498.44	467.58
SIRI	Entertainment	Communication	-35.87	243.65
PAYX	Staffing	Industrials	30.85	420.98
EA	Electronic	Communication	76.25	347.32
LULU	Apparel	Consumer	26.68	357.88
EBAY	Internet	Consumer	70.54	244.76
CTAS	Specialty	Industrials	32.94	388.96
WDAY	Software—Application	Technology	47.81	370.69
ORLY	Specialty	Consumer	-3.28	432.31
VRSK	Consulting	Industrials	26.76	281.26
WLTW	null	null	288.54
CSGP	Real	Real	57.97	245.94
PCAR	Farm	Industrials	121.43	282.74
KLAC	Semiconductor	Technology	40.79	437.26
SPLK	Software—Infrastructure	Technology	-6.62	152.05
NTES	Electronic	Communication	160.45	586.06
MCHP	Semiconductors	Technology	58.95	311.35
VRSN	Software—Infrastructure	Technology	-12.85	192.86
ANSS	Software—Application	Technology	43.64	215.23
IDXX	Diagnostics	Healthcare	6.4	315.21
CERN	null	null	39.09	279.16
ALXN	null	null	124.31	
ASML	Semiconductor	Technology	98.03	1726.68
SNPS	Software—Infrastructure	Technology	56.11	473.64
FAST	Industrial	Industrials	31.42	290.22
DLTR	Discount	Consumer	82.42	372.29
CPRT	Auto	Consumer	43.53	268.07
XLNX	null	null	36.74	484.15
CDNS	Software—Application	Technology	27.6	430.29
ALGN	Medical	Healthcare	36.67	196.65
SGEN	Biotechnology	Healthcare	29.98	322.37
WDC	Computer	Technology	119.84	137.07
UAL	Airlines	Industrials	36.24	119.78
SWKS	Semiconductors	Technology	51.89	153.73
CDW	Information	Technology	8.93	213.70
CHKP	Software—Infrastructure	Technology	31.46	160.27
ULTA	Specialty	Consumer	17.46	197.82
INCY	Biotechnology	Healthcare	38.63	176.58
TCOM	Travel	Consumer	172.9	170.19
BMRN	Biotechnology	Healthcare	43.91	159.85
EXPE	Travel	Consumer	35.67	147.47
MXIM	null	null	24.16	
CTXS	Software—Application	Technology	6.65	123.82
TTWO	Electronic	Communication	38.1	203.65
FOXA	Entertainment	Communication	113.93	184.62
AAL	Airlines	Industrials	-89.4	90.22
NTAP	Computer	Technology	8.38	140.08
FOX	Entertainment	Communication	113.93	170.20
LBTYK	Telecom	Communication	250.07	110.76
LBTYA	Telecom	Communication	250.07	105.71
