code,industry_infos,sector_infos,firstone,firstone_1,firstone_2,firstone_3,firstone_4
MSFT,Software—Infrastructure,Technology,167.28,187.65,205.05,164.58,154.57
AAPL,Consumer,Technology,250.1,346.3,205.51,217.44,236.3
AMZN,Internet,Consumer,-38.44,143.23,31.56,77.78,81.07
FB,Internet,Communication,74.65,102.85,91.94,103.94,94.97
GOOGL,Internet,Communication,164.36,206.42,189.36,185.25,179.3
GOOG,Internet,Communication,164.36,206.42,189.36,185.25,179.3
JNJ,Drug,Healthcare,51.49,47.36,36.67,62.78,61.97
BRK.B,null,null,54.6,396.46,103.44,280.94,117.11
V,Credit,Financial,35.65,38.71,35.03,25.15,29.51
JPM,Banks—Diversified,Financial,82.42,103.53,116.31,118.89,142.3
PG,Household,Consumer,33.55,42.23,41.12,29.06,32.69
UNH,Healthcare,Healthcare,50.27,40.71,40.86,42.66,48.62
MA,Credit,Financial,26.31,23.79,24.14,20.66,18.28
HD,Home,Consumer,42.31,42.31,33.52,41.29,48.07
INTC,Semiconductors,Technology,81.13,46.23,68.23,50.61,33.61
VZ,Telecom,Communication,45.8,46.13,64.07,58.0,52.45
NVDA,Semiconductors,Technology,16.18,30.03,24.64,23.74,19.12
T,Telecom,Communication,48.1,50.43,59.18,15.7,75.5
DIS,Entertainment,Communication,4.7,11.04,1.59,9.18,9.01
BAC,Banks—Diversified,Financial,70.67,70.13,76.91,92.24,80.5
XOM,Oil,Energy,54.8,88.7,67.5,46.9,27.3
ADBE,Software—Infrastructure,Technology,12.66,12.33,12.12,11.16,12.61
CSCO,Communication,Technology,30.44,29.73,29.8,30.09,28.63
MRK,Drug,Healthcare,43.1,37.58,45.67,15.45,31.79
NFLX,Entertainment,Communication,15.97,6.07,14.49,13.53,17.07
PYPL,Credit,Financial,5.09,8.01,10.87,11.84,10.97
PFE,Drug,Healthcare,78.73,33.93,81.46,55.63,48.77
PEP,Beverages—Non-Alcoholic,Consumer,42.61,13.22,22.24,23.58,17.14
CMCSA,Telecom,Communication,35.49,30.57,40.35,37.38,33.29
KO,Beverages—Non-Alcoholic,Consumer,27.81,24.14,24.71,26.41,22.45
CVX,Oil,Energy,62.59,50.55,61.11,30.82,13.77
WMT,Discount,Consumer,20.54,35.62,31.05,42.76,27.3
ABBV,Drug,Healthcare,44.68,40.23,31.58,7.49,35.29
